id;name;type;code;created_by;created_date;last_modified_by;last_modified_date
1;programming;multi-byte;deploy invoice;navigating;2021-10-15T06:49:21;Senior;2021-10-14T17:44:11
2;synergize District;dedicated Director Spurs;mint up;Intranet Crest;2021-10-14T11:01:04;directional Fantastic;2021-10-15T07:53:31
3;Tools;Avon Pa'anga;Avon Soft Cape;Berkshire;2021-10-15T05:06:09;Rubber viral;2021-10-14T13:40:22
4;Administrator Practical Cotton;methodical quantifying;Regional feed;framework;2021-10-15T08:04:10;COM interactive;2021-10-14T15:04:07
5;Port Nicaragua;e-business Borders;Spur Granite Tuna;Bedfordshire;2021-10-14T10:21:17;Web;2021-10-14T22:15:39
6;initiatives Agent;attitude-oriented Carolina Rubber;Agent violet Small;parse Villages;2021-10-14T22:41:08;strategic;2021-10-15T05:09:08
7;Fundamental;deposit;bottom-line IB;Forint intuitive;2021-10-14T12:15:19;visionary Chad Palladium;2021-10-15T03:34:28
8;Central wireless Argentine;Operations USB enterprise;web-enabled;navigating;2021-10-14T14:24:41;Denmark;2021-10-15T08:34:40
9;e-commerce Direct Cotton;Shoes Gateway;Investor Path attitude;attitude-oriented;2021-10-14T23:09:44;circuit Account;2021-10-14T12:21:04
10;synthesize Architect Rubber;radical Kids;Skyway Ball 1080p;Tennessee;2021-10-14T17:11:15;initiatives;2021-10-15T01:09:39
